Symbol  Freq    Code
=0      1429    011111
=1      428     11000010
=2      184     100011000
=3      360     10000010
=4      308     00110111
=5      288     00010100
=6      278     00000000
=7      410     10110101
=8      282     00000101
=9      320     01000110
=10     279     00000011
=11     315     00111010
=12     289     00011000
=13     303     00110000
=14     319     01000010
=15     449     11001111
=16     214     110000011
=17     281     00000100
=18     293     00011001
=19     270     111110000
=20     322     01001001
=21     329     01001110
=22     318     01000001
=23     336     01011101
=24     369     10001011
=25     384     10100000
=26     289     00010101
=27     337     01100001
=28     359     10000000
=29     364     10000110
=30     383     10011101
=31     593     0010001
=32     272     111110100
!       214     110000010
"       222     110011000
#       422     10111011
$       381     10011010
%       317     00111111
&       265     111100011
'       411     10110110
(       235     110111000
)       232     110110010
*       270     111101101
+       371     10001110
,       287     00010001
-       354     01110111
.       284     00001110
/       455     11010101
0       255     111010001
1       271     111110001
2       296     00100100
3       320     01000011
4       284     00001001
5       334     01011000
6       347     01101011
7       365     10000111
8       336     01011100
9       372     10001111
:       304     00110010
;       386     10100100
<       509     11101001
=       358     01111001
>       457     11010111
?       716     0111101
@       215     110000111
A       257     111010110
B       225     110101100
C       253     111010000
D       179     010101111
E       284     00001000
F       335     01011011
G       368     10001010
H       273     111111000
I       387     10100101
J       263     111100001
K       435     11000111
L       155     010101110
M       363     10000101
N       352     01110100
O       488     11100001
P       215     110000110
Q       275     111111010
R       273     111110101
S       262     111011111
T       247     111001100
U       317     00111110
V       373     10010001
W       450     11010010
X       285     00010000
Y       297     00100111
Z       415     10110111
[       426     11000000
\       303     00101111
]       393     10100111
^       377     10010101
_       584     0001111
`       217     110010100
a       223     110011001
b       202     101100011
c       397     10101011
d       270     111101100
e       317     00111101
f       234     110110011
g       423     10111101
h       298     00101001
i       468     11011010
j       347     01101010
k       495     11100100
l       244     110111111
m       497     11100101
n       373     10010000
o       543     11111001
p       279     00000010
q       362     10000011
r       278     111111011
s       350     01101110
t       340     01100100
u       394     10101000
v       347     01101001
w       426     10111111
x       530     11110010
y       337     01100000
z       335     01011010
{       360     10000001
|       575     0001001
}       402     10101111
~       583     0001110
=127    795     1010110
=128    258     111010111
=129    264     111100010
=130    397     10101010
=131    333     01010110
=132    237     110111001
=133    285     00001111
=134    333     01010101
=135    352     01110011
=136    263     111100000
=137    297     00100110
=138    400     10101110
=139    325     01001100
=140    388     10100110
=141    374     10010011
=142    425     10111110
=143    521     11101110
=144    202     101100010
=145    339     01100011
=146    423     10111100
=147    323     01001010
=148    219     110010101
=149    341     01100101
=150    351     01110000
=151    380     10011001
=152    189     101000110
=153    185     100011001
=154    363     10000100
=155    310     00111000
=156    335     01011001
=157    353     01110101
=158    450     11010001
=159    568     0000101
=160    196     101000111
=161    247     111000101
=162    279     00000001
=163    333     01010100
=164    298     00101000
=165    378     10011000
=166    328     01001101
=167    453     11010100
=168    262     111011110
=169    316     00111011
=170    251     111001101
=171    348     01101100
=172    274     111111001
=173    437     11001011
=174    330     01010001
=175    640     0100010
=176    230     110101101
=177    317     00111100
=178    330     01010000
=179    352     01110010
=180    409     10110011
=181    475     11011101
=182    405     10110010
=183    494     11100011
=184    313     00111001
=185    354     01110110
=186    384     10011111
=187    419     10111010
=188    432     11000101
=189    370     10001101
=190    470     11011011
=191    682     0110011
=192    297     00100101
=193    485     11100000
=194    322     01001000
=195    447     11001101
=196    382     10011011
=197    338     01100010
=198    459     11011000
=199    504     11100111
=200    270     111101111
=201    344     01101000
=202    302     00101101
=203    430     11000100
=204    246     111000100
=205    331     01010011
=206    331     01010010
=207    563     0000011
=208    239     110111110
=209    304     00110001
=210    397     10101001
=211    449     11001110
=212    318     01000000
=213    324     01001011
=214    385     10100010
=215    554     11111111
=216    303     00101110
=217    377     10010100
=218    536     11110011
=219    478     11011110
=220    352     01110001
=221    403     10110000
=222    434     11000110
=223    545     11111011
=224    593     0010000
=225    511     11101010
=226    612     0011010
=227    580     0001011
=228    306     00110011
=229    322     01000111
=230    302     00101100
=231    383     10011100
=232    270     111101110
=233    410     10110100
=234    374     10010010
=235    452     11010011
=236    384     10011110
=237    553     11111110
=238    355     01111000
=239    450     11010000
=240    871     1100100
=241    672     0101111
=242    330     01001111
=243    308     00110110
=244    351     01101111
=245    350     01101101
=246    599     0010101
=247    416     10111000
=248    1033    1110110
=249    385     10100001
=250    419     10111001
=251    583     0001101
=252    731     1000100
=253    569     0000110
=254    755     1001011
=255    1068    1111010
